D:\Data\IMG\center_2020_03_29_11_28_00_521.jpg, D:\Data\IMG\left_2020_03_29_11_28_00_521.jpg, D:\Data\IMG\right_2020_03_29_11_28_00_521.jpg, 0, 0, 0, 7.817417E-05
D:\Data\IMG\center_2020_03_29_11_28_00_681.jpg, D:\Data\IMG\left_2020_03_29_11_28_00_681.jpg, D:\Data\IMG\right_2020_03_29_11_28_00_681.jpg, 0, 0, 0, 7.92016E-05
D:\Data\IMG\center_2020_03_29_11_28_00_792.jpg, D:\Data\IMG\left_2020_03_29_11_28_00_792.jpg, D:\Data\IMG\right_2020_03_29_11_28_00_792.jpg, 0, 0, 0, 7.878435E-05
D:\Data\IMG\center_2020_03_29_11_28_00_923.jpg, D:\Data\IMG\left_2020_03_29_11_28_00_923.jpg, D:\Data\IMG\right_2020_03_29_11_28_00_923.jpg, 0, 0, 0, 7.939706E-05
D:\Data\IMG\center_2020_03_29_11_28_01_026.jpg, D:\Data\IMG\left_2020_03_29_11_28_01_026.jpg, D:\Data\IMG\right_2020_03_29_11_28_01_026.jpg, 0, 0, 0, 7.78496E-05
D:\Data\IMG\center_2020_03_29_11_28_01_160.jpg, D:\Data\IMG\left_2020_03_29_11_28_01_160.jpg, D:\Data\IMG\right_2020_03_29_11_28_01_160.jpg, 0, 0, 0, 7.857393E-05
D:\Data\IMG\center_2020_03_29_11_28_01_257.jpg, D:\Data\IMG\left_2020_03_29_11_28_01_257.jpg, D:\Data\IMG\right_2020_03_29_11_28_01_257.jpg, 0, 0, 0, 7.93435E-05
D:\Data\IMG\center_2020_03_29_11_28_01_385.jpg, D:\Data\IMG\left_2020_03_29_11_28_01_385.jpg, D:\Data\IMG\right_2020_03_29_11_28_01_385.jpg, 0, 0, 0, 7.784685E-05
D:\Data\IMG\center_2020_03_29_11_28_01_497.jpg, D:\Data\IMG\left_2020_03_29_11_28_01_497.jpg, D:\Data\IMG\right_2020_03_29_11_28_01_497.jpg, 0, 0, 0, 7.822313E-05
D:\Data\IMG\center_2020_03_29_11_28_01_601.jpg, D:\Data\IMG\left_2020_03_29_11_28_01_601.jpg, D:\Data\IMG\right_2020_03_29_11_28_01_601.jpg, 0, 0, 0, 8.010369E-05
D:\Data\IMG\center_2020_03_29_11_28_01_701.jpg, D:\Data\IMG\left_2020_03_29_11_28_01_701.jpg, D:\Data\IMG\right_2020_03_29_11_28_01_701.jpg, 0, 0, 0, 7.785059E-05
D:\Data\IMG\center_2020_03_29_11_28_01_803.jpg, D:\Data\IMG\left_2020_03_29_11_28_01_803.jpg, D:\Data\IMG\right_2020_03_29_11_28_01_803.jpg, 0, 0.0848131, 0, 0.01654077
